Date,Open,High,Low,Close,Adj Close,Volume
1987-12-31,10.000000,10.000000,10.000000,10.000000,8.802992,0
1988-01-04,10.370000,10.370000,10.370000,10.370000,9.128703,0
1988-01-05,10.450000,10.450000,10.450000,10.450000,9.199125,0
1988-01-06,10.430000,10.430000,10.430000,10.430000,9.181520,0
1988-01-07,10.460000,10.460000,10.460000,10.460000,9.207928,0
1988-01-08,9.800000,9.800000,9.800000,9.800000,8.626929,0
1988-01-11,9.940000,9.940000,9.940000,9.940000,8.750172,0
1988-01-12,9.850000,9.850000,9.850000,9.850000,8.670942,0
1988-01-13,9.810000,9.810000,9.810000,9.810000,8.635736,0
1988-01-14,9.810000,9.810000,9.810000,9.810000,8.635736,0
1988-01-15,10.080000,10.080000,10.080000,10.080000,8.873413,0
1988-01-18,10.000000,10.000000,10.000000,10.000000,8.802992,0
1988-01-19,9.930000,9.930000,9.930000,9.930000,8.741371,0
1988-01-20,9.680000,9.680000,9.680000,9.680000,8.521293,0
1988-01-21,9.680000,9.680000,9.680000,9.680000,8.521293,0
1988-01-22,9.770000,9.770000,9.770000,9.770000,8.600527,0
1988-01-25,9.910000,9.910000,9.910000,9.910000,8.723764,0
1988-01-26,9.820000,9.820000,9.820000,9.820000,8.644536,0
1988-01-27,9.790000,9.790000,9.790000,9.790000,8.618130,0
1988-01-28,9.920000,9.920000,9.920000,9.920000,8.732567,0
1988-01-29,10.070000,10.070000,10.070000,10.070000,8.864612,0
1988-02-01,10.050000,10.050000,10.050000,10.050000,8.847010,0
1988-02-02,10.050000,10.050000,10.050000,10.050000,8.847010,0
1988-02-03,9.910000,9.910000,9.910000,9.910000,8.723764,0
1988-02-04,9.910000,9.910000,9.910000,9.910000,8.723764,0
1988-02-05,9.870000,9.870000,9.870000,9.870000,8.688554,0
1988-02-08,9.770000,9.770000,9.770000,9.770000,8.600527,0
1988-02-09,9.850000,9.850000,9.850000,9.850000,8.670942,0
1988-02-10,10.060000,10.060000,10.060000,10.060000,8.855807,0
1988-02-11,10.070000,10.070000,10.070000,10.070000,8.864612,0
1988-02-12,10.110000,10.110000,10.110000,10.110000,8.899825,0
1988-02-16,10.170000,10.170000,10.170000,10.170000,8.952639,0
1988-02-17,10.160000,10.160000,10.160000,10.160000,8.943836,0
1988-02-18,10.120000,10.120000,10.120000,10.120000,8.908627,0
1988-02-19,10.240000,10.240000,10.240000,10.240000,9.014260,0
1988-02-22,10.370000,10.370000,10.370000,10.370000,9.128703,0
1988-02-23,10.370000,10.370000,10.370000,10.370000,9.128703,0
1988-02-24,10.360000,10.360000,10.360000,10.360000,9.119898,0
1988-02-25,10.300000,10.300000,10.300000,10.300000,9.067082,0
1988-02-26,10.310000,10.310000,10.310000,10.310000,9.075887,0
1988-02-29,10.500000,10.500000,10.500000,10.500000,9.243135,0
1988-03-01,10.490000,10.490000,10.490000,10.490000,9.234343,0
1988-03-02,10.520000,10.520000,10.520000,10.520000,9.260748,0
1988-03-03,10.530000,10.530000,10.530000,10.530000,9.269548,0
1988-03-04,10.530000,10.530000,10.530000,10.530000,9.269548,0
1988-03-07,10.540000,10.540000,10.540000,10.540000,9.278352,0
1988-03-08,10.610000,10.610000,10.610000,10.610000,9.339971,0
1988-03-09,10.630000,10.630000,10.630000,10.630000,9.357583,0
1988-03-10,10.460000,10.460000,10.460000,10.460000,9.207928,0
1988-03-11,10.440000,10.440000,10.440000,10.440000,9.190324,0
1988-03-14,10.480000,10.480000,10.480000,10.480000,9.225536,0
1988-03-15,10.460000,10.460000,10.460000,10.460000,9.207928,0
1988-03-16,10.550000,10.550000,10.550000,10.550000,9.287158,0
1988-03-17,10.640000,10.640000,10.640000,10.640000,9.366385,0
1988-03-18,10.620000,10.620000,10.620000,10.620000,9.348777,0
1988-03-21,10.530000,10.530000,10.530000,10.530000,9.269548,0
1988-03-22,10.530000,10.530000,10.530000,10.530000,9.269548,0
1988-03-23,10.540000,10.540000,10.540000,10.540000,9.278352,0
1988-03-24,10.320000,10.320000,10.320000,10.320000,9.084685,0
1988-03-25,10.160000,10.160000,10.160000,10.160000,8.943836,0
1988-03-28,10.150000,10.150000,10.150000,10.150000,8.935036,0
1988-03-29,10.220000,10.220000,10.220000,10.220000,8.996658,0
1988-03-30,10.110000,10.110000,10.110000,10.110000,8.899825,0
1988-03-31,10.120000,10.120000,10.120000,10.120000,8.908627,0
1988-04-04,10.030000,10.030000,10.030000,10.030000,8.829403,0
1988-04-05,10.090000,10.090000,10.090000,10.090000,8.882218,0
1988-04-06,10.310000,10.310000,10.310000,10.310000,9.075887,0
1988-04-07,10.350000,10.350000,10.350000,10.350000,9.111094,0
1988-04-08,10.480000,10.480000,10.480000,10.480000,9.225536,0
1988-04-11,10.520000,10.520000,10.520000,10.520000,9.260748,0
1988-04-12,10.590000,10.590000,10.590000,10.590000,9.322369,0
1988-04-13,10.590000,10.590000,10.590000,10.590000,9.322369,0
1988-04-14,10.150000,10.150000,10.150000,10.150000,8.935036,0
1988-04-15,10.150000,10.150000,10.150000,10.150000,8.935036,0
1988-04-18,10.090000,10.090000,10.090000,10.090000,8.882218,0
1988-04-19,10.050000,10.050000,10.050000,10.050000,8.847010,0
1988-04-20,9.970000,9.970000,9.970000,9.970000,8.776583,0
1988-04-21,9.980000,9.980000,9.980000,9.980000,8.785385,0
1988-04-22,10.080000,10.080000,10.080000,10.080000,8.873413,0
1988-04-25,10.130000,10.130000,10.130000,10.130000,8.917431,0
1988-04-26,10.190000,10.190000,10.190000,10.190000,8.970245,0
1988-04-27,10.190000,10.190000,10.190000,10.190000,8.970245,0
1988-04-28,10.130000,10.130000,10.130000,10.130000,8.917431,0
1988-04-29,10.100000,10.100000,10.100000,10.100000,8.891023,0
1988-05-02,10.110000,10.110000,10.110000,10.110000,8.899825,0
1988-05-03,10.170000,10.170000,10.170000,10.170000,8.952639,0
1988-05-04,10.090000,10.090000,10.090000,10.090000,8.882218,0
1988-05-05,10.020000,10.020000,10.020000,10.020000,8.820597,0
1988-05-06,9.970000,9.970000,9.970000,9.970000,8.776583,0
1988-05-09,9.910000,9.910000,9.910000,9.910000,8.723764,0
1988-05-10,9.930000,9.930000,9.930000,9.930000,8.741371,0
1988-05-11,9.760000,9.760000,9.760000,9.760000,8.591719,0
1988-05-12,9.800000,9.800000,9.800000,9.800000,8.626929,0
1988-05-13,9.890000,9.890000,9.890000,9.890000,8.706160,0
1988-05-16,9.960000,9.960000,9.960000,9.960000,8.767781,0
1988-05-17,9.890000,9.890000,9.890000,9.890000,8.706160,0
1988-05-18,9.730000,9.730000,9.730000,9.730000,8.565309,0
1988-05-19,9.740000,9.740000,9.740000,9.740000,8.574115,0
1988-05-20,9.740000,9.740000,9.740000,9.740000,8.574115,0
1988-05-23,9.640000,9.640000,9.640000,9.640000,8.486083,0
1988-05-24,9.750000,9.750000,9.750000,9.750000,8.582917,0
1988-05-25,9.770000,9.770000,9.770000,9.770000,8.600527,0
1988-05-26,9.830000,9.830000,9.830000,9.830000,8.653341,0
1988-05-27,9.780000,9.780000,9.780000,9.780000,8.609325,0
1988-05-31,10.100000,10.100000,10.100000,10.100000,8.891023,0
1988-06-01,10.280000,10.280000,10.280000,10.280000,9.049474,0
1988-06-02,10.230000,10.230000,10.230000,10.230000,9.005458,0
1988-06-03,10.280000,10.280000,10.280000,10.280000,9.049474,0
1988-06-06,10.320000,10.320000,10.320000,10.320000,9.084685,0
1988-06-07,10.270000,10.270000,10.270000,10.270000,9.040675,0
1988-06-08,10.490000,10.490000,10.490000,10.490000,9.234343,0
1988-06-09,10.450000,10.450000,10.450000,10.450000,9.199125,0
1988-06-10,10.490000,10.490000,10.490000,10.490000,9.234343,0
1988-06-13,10.510000,10.510000,10.510000,10.510000,9.251942,0
1988-06-14,10.650000,10.650000,10.650000,10.650000,9.375182,0
1988-06-15,10.670000,10.670000,10.670000,10.670000,9.392793,0
1988-06-16,10.510000,10.510000,10.510000,10.510000,9.251942,0
1988-06-17,10.490000,10.490000,10.490000,10.490000,9.234343,0
1988-06-20,10.430000,10.430000,10.430000,10.430000,9.181520,0
1988-06-21,10.530000,10.530000,10.530000,10.530000,9.269548,0
1988-06-22,10.680000,10.680000,10.680000,10.680000,9.401594,0
1988-06-23,10.660000,10.660000,10.660000,10.660000,9.383989,0
1988-06-24,10.620000,10.620000,10.620000,10.620000,9.348777,0
1988-06-27,10.450000,10.450000,10.450000,10.450000,9.199125,0
1988-06-28,10.600000,10.600000,10.600000,10.600000,9.331173,0
1988-06-29,10.580000,10.580000,10.580000,10.580000,9.313564,0
