Date,Open,High,Low,Close,Adj Close,Volume
1998-02-04,10.000000,10.000000,10.000000,10.000000,9.926406,0
1998-02-05,10.040000,10.040000,10.040000,10.040000,9.966112,0
1998-02-06,10.100000,10.100000,10.100000,10.100000,10.025670,0
1998-02-09,10.190000,10.190000,10.190000,10.190000,10.115007,0
1998-02-10,10.330000,10.330000,10.330000,10.330000,10.253979,0
1998-02-11,10.480000,10.480000,10.480000,10.480000,10.402875,0
1998-02-12,10.490000,10.490000,10.490000,10.490000,10.412800,0
1998-02-13,10.490000,10.490000,10.490000,10.490000,10.412800,0
1998-02-17,10.520000,10.520000,10.520000,10.520000,10.442579,0
1998-02-18,10.620000,10.620000,10.620000,10.620000,10.541843,0
1998-02-19,10.600000,10.600000,10.600000,10.600000,10.521992,0
1998-02-20,10.620000,10.620000,10.620000,10.620000,10.541843,0
1998-02-23,10.730000,10.730000,10.730000,10.730000,10.651032,0
1998-02-24,10.670000,10.670000,10.670000,10.670000,10.591475,0
1998-02-25,10.760000,10.760000,10.760000,10.760000,10.680814,0
1998-02-26,10.850000,10.850000,10.850000,10.850000,10.770150,0
1998-02-27,10.890000,10.890000,10.890000,10.890000,10.809857,0
1998-03-02,10.920000,10.920000,10.920000,10.920000,10.839635,0
1998-03-03,10.940000,10.940000,10.940000,10.940000,10.859489,0
1998-03-04,10.960000,10.960000,10.960000,10.960000,10.879340,0
1998-03-05,10.840000,10.840000,10.840000,10.840000,10.760224,0
1998-03-06,11.080000,11.080000,11.080000,11.080000,10.998459,0
1998-03-09,11.030000,11.030000,11.030000,11.030000,10.948827,0
1998-03-10,11.120000,11.120000,11.120000,11.120000,11.038163,0
1998-03-11,11.170000,11.170000,11.170000,11.170000,11.087796,0
1998-03-12,11.160000,11.160000,11.160000,11.160000,11.077870,0
1998-03-13,11.200000,11.200000,11.200000,11.200000,11.117575,0
1998-03-16,11.330000,11.330000,11.330000,11.330000,11.246619,0
1998-03-17,11.280000,11.280000,11.280000,11.280000,11.196987,0
1998-03-18,11.380000,11.380000,11.380000,11.380000,11.296250,0
1998-03-19,11.480000,11.480000,11.480000,11.480000,11.395514,0
1998-03-20,11.510000,11.510000,11.510000,11.510000,11.425293,0
1998-03-23,11.420000,11.420000,11.420000,11.420000,11.335957,0
1998-03-24,11.530000,11.530000,11.530000,11.530000,11.445147,0
1998-03-25,11.540000,11.540000,11.540000,11.540000,11.455073,0
1998-03-26,11.580000,11.580000,11.580000,11.580000,11.494779,0
1998-03-27,11.540000,11.540000,11.540000,11.540000,11.455073,0
1998-03-30,11.510000,11.510000,11.510000,11.510000,11.425293,0
1998-03-31,11.690000,11.690000,11.690000,11.690000,11.603970,0
1998-04-01,11.780000,11.780000,11.780000,11.780000,11.693307,0
1998-04-02,11.930000,11.930000,11.930000,11.930000,11.842204,0
1998-04-03,11.920000,11.920000,11.920000,11.920000,11.832276,0
1998-04-06,11.820000,11.820000,11.820000,11.820000,11.733011,0
1998-04-07,11.680000,11.680000,11.680000,11.680000,11.594042,0
1998-04-08,11.660000,11.660000,11.660000,11.660000,11.574189,0
1998-04-09,11.780000,11.780000,11.780000,11.780000,11.693307,0
1998-04-13,11.780000,11.780000,11.780000,11.780000,11.693307,0
1998-04-14,11.840000,11.840000,11.840000,11.840000,11.752867,0
1998-04-15,11.930000,11.930000,11.930000,11.930000,11.842204,0
1998-04-16,11.840000,11.840000,11.840000,11.840000,11.752867,0
1998-04-17,11.900000,11.900000,11.900000,11.900000,11.812424,0
1998-04-20,11.950000,11.950000,11.950000,11.950000,11.862056,0
1998-04-21,11.980000,11.980000,11.980000,11.980000,11.891835,0
1998-04-22,11.990000,11.990000,11.990000,11.990000,11.901761,0
1998-04-23,11.750000,11.750000,11.750000,11.750000,11.663527,0
1998-04-24,11.570000,11.570000,11.570000,11.570000,11.484853,0
1998-04-27,11.270000,11.270000,11.270000,11.270000,11.187059,0
1998-04-28,11.340000,11.340000,11.340000,11.340000,11.256546,0
1998-04-29,11.560000,11.560000,11.560000,11.560000,11.474925,0
1998-04-30,11.670000,11.670000,11.670000,11.670000,11.584116,0
1998-05-01,11.610000,11.610000,11.610000,11.610000,11.524557,0
1998-05-04,11.650000,11.650000,11.650000,11.650000,11.564262,0
1998-05-05,11.570000,11.570000,11.570000,11.570000,11.484853,0
1998-05-06,11.460000,11.460000,11.460000,11.460000,11.375662,0
1998-05-07,11.400000,11.400000,11.400000,11.400000,11.316102,0
1998-05-08,11.520000,11.520000,11.520000,11.520000,11.435220,0
1998-05-11,11.460000,11.460000,11.460000,11.460000,11.375662,0
1998-05-12,11.500000,11.500000,11.500000,11.500000,11.415367,0
1998-05-13,11.520000,11.520000,11.520000,11.520000,11.435220,0
1998-05-14,11.540000,11.540000,11.540000,11.540000,11.455073,0
1998-05-15,11.470000,11.470000,11.470000,11.470000,11.385589,0
1998-05-18,11.350000,11.350000,11.350000,11.350000,11.266472,0
1998-05-19,11.460000,11.460000,11.460000,11.460000,11.375662,0
1998-05-20,11.440000,11.440000,11.440000,11.440000,11.355808,0
1998-05-21,11.440000,11.440000,11.440000,11.440000,11.355808,0
1998-05-22,11.320000,11.320000,11.320000,11.320000,11.236691,0
1998-05-26,11.120000,11.120000,11.120000,11.120000,11.038163,0
1998-05-27,11.090000,11.090000,11.090000,11.090000,11.008386,0
1998-05-28,11.230000,11.230000,11.230000,11.230000,11.147354,0
1998-05-29,11.280000,11.280000,11.280000,11.280000,11.196987,0
1998-06-01,11.160000,11.160000,11.160000,11.160000,11.077870,0
1998-06-02,11.200000,11.200000,11.200000,11.200000,11.117575,0
1998-06-03,11.170000,11.170000,11.170000,11.170000,11.087796,0
1998-06-04,11.200000,11.200000,11.200000,11.200000,11.117575,0
1998-06-05,11.310000,11.310000,11.310000,11.310000,11.226766,0
1998-06-08,11.430000,11.430000,11.430000,11.430000,11.345884,0
1998-06-09,11.580000,11.580000,11.580000,11.580000,11.494779,0
